From_Name,From_GPS_X,From_GPS_Y,To_Name,To_GPS_X,To_GPS_Y,Rounded_Distance_Miles,Description,Direction,Rounded_Traffic_Minutes,Traffic
Alhambra,34.095287,-118.1270146,Century City,34.0536608,-118.4133894,23,I-10 W,AM,74,heavy
Beverly Hills,34.0736204,-118.4003563,Century City,34.0536608,-118.4133894,2,"CA-2, Avenue of the Stars",AM,10,light
Burbank,34.1808392,-118.3089661,Century City,34.0536608,-118.4133894,22,"US-101 N, I-405 S",AM,61,heavy
Arcadia,34.1397292,-118.0353449,Century City,34.0536608,-118.4133894,33,"I-210 W, I-10 W",AM,88,heavy
Century City,34.0536608,-118.4133894,Century City,34.0536608,-118.4133894,0,Same Location,AM,0,light
Compton,33.8958492,-118.2200712,Century City,34.0536608,-118.4133894,23,"I-105 W, I-405 N",AM,68,heavy
Carson,33.8316745,-118.281693,Century City,34.0536608,-118.4133894,23,I-405 N,AM,68,heavy
Cerritos,33.8583483,-118.0647871,Century City,34.0536608,-118.4133894,36,"CA-91 W, I-405 N",AM,85,heavy
Culver City,34.0211224,-118.3964665,Century City,34.0536608,-118.4133894,5,"I-10 W, W Pico Blvd",AM,16,light
Downtown Los Angeles,34.040713,-118.2467693,Century City,34.0536608,-118.4133894,13,I-10 W,AM,50,medium
Downey,33.9401088,-118.1331593,Century City,34.0536608,-118.4133894,24,"I-710 N, I-10 W",AM,75,heavy
El Monte,34.0686206,-118.0275667,Century City,34.0536608,-118.4133894,27,I-10 W,AM,81,heavy
Hancock Park,34.0723327,-118.3286614,Century City,34.0536608,-118.4133894,7,"Wilshire Blvd, W Olympic Blvd",AM,31,medium
Hollywood,34.0928092,-118.3286614,Century City,34.0536608,-118.4133894,7,"CA-2, CA-2 S",AM,34,medium
Hawthorne,33.9164032,-118.3525748,Century City,34.0536608,-118.4133894,14,"I-405 N, W Pico Blvd",AM,50,medium
Glendale,34.1425078,-118.255075,Century City,34.0536608,-118.4133894,25,"US-101 N, I-405 S",AM,61,heavy
Granada Hills,34.2793576,-118.5021527,Century City,34.0536608,-118.4133894,21,I-405 S,AM,66,heavy
